BODY_DVH Dose (Gy),BODY_DVH Value (% of 7978.300 cc),BRAIN_DVH Dose (Gy),BRAIN_DVH Value (% of 1114.880 cc),BRSTEM_DVH Dose (Gy),BRSTEM_DVH Value (% of 31.500 cc),CTV_DVH Dose (Gy),CTV_DVH Value (% of 69.981 cc),GTV_DVH Dose (Gy),GTV_DVH Value (% of 8.438 cc),LensLeft_DVH Dose (Gy),LensLeft_DVH Value (% of 0.145 cc),LensRight_DVH Dose (Gy),LensRight_DVH Value (% of 0.141 cc),OpticChiasm_DVH Dose (Gy),OpticChiasm_DVH Value (% of 1.133 cc),OpticNerveLt_DVH Dose (Gy),OpticNerveLt_DVH Value (% of 1.727 cc),OpticNerveRt_DVH Dose (Gy),OpticNerveRt_DVH Value (% of 2.262 cc),OrbitLeft_DVH Dose (Gy),OrbitLeft_DVH Value (% of 8.504 cc),OrbitRight_DVH Dose (Gy),OrbitRight_DVH Value (% of 8.766 cc),PTV1_DVH Dose (Gy),PTV1_DVH Value (% of 126.957 cc),optBRAIN_DVH Dose (Gy),optBRAIN_DVH Value (% of 782.102 cc),optOptic_DVH Dose (Gy),optOptic_DVH Value (% of 22.305 cc)
60.7,1.0642139,60.7,7.41775094,60.7,0,60.7,75.11833711,60.7,83.66302865,60.7,0,60.7,0,60.7,0,60.7,0,60.7,0,60.7,0,60.7,0,60.7,66.07467297,60.7,0,60.7,0
60.9,0.78839946,60.9,5.472141051,60.9,0,60.9,53.69417576,60.9,41.78035471,60.9,0,60.9,0,60.9,0,60.9,0,60.9,0,60.9,0,60.9,0,60.9,49.07567224,60.9,0,60.9,0
61.1,0.556070568,61.1,3.87957252,61.1,0,61.1,37.09405227,61.1,16.60982265,61.1,0,61.1,0,61.1,0,61.1,0,61.1,0,61.1,0,61.1,0,61.1,34.7837936,61.1,0,61.1,0
61.3,0.333986214,61.3,2.359216994,61.3,0,61.3,21.37888454,61.3,4.160982265,61.3,0,61.3,0,61.3,0,61.3,0,61.3,0,61.3,0,61.3,0,61.3,20.96656977,61.3,0,61.3,0
61.5,0.14399663,61.5,1.035311901,61.5,0,61.5,7.758798107,61.5,0.306957708,61.5,0,61.5,0,61.5,0,61.5,0,61.5,0,61.5,0,61.5,0,61.5,9.06159157,61.5,0,61.5,0
61.7,0.043163169,61.7,0.311370054,61.7,0,61.7,1.720518625,61.7,0,61.7,0,61.7,0,61.7,0,61.7,0,61.7,0,61.7,0,61.7,0,61.7,2.702579942,61.7,0,61.7,0
61.9,0.007665492,61.9,0.055389187,61.9,0,61.9,0.218151883,61.9,0,61.9,0,61.9,0,61.9,0,61.9,0,61.9,0,61.9,0,61.9,0,61.9,0.474654797,61.9,0,61.9,0
62.1,0.001862643,62.1,0.013459055,62.1,0,62.1,8.23E-03,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0.115824855,62.1,0,62.1,0
62.3,0.00025074,62.3,0.001811796,62.3,0,62.3,0,62.3,0,62.3,0,62.3,0,62.3,0,62.3,0,62.3,0,62.3,0,62.3,0,62.3,0.015897529,62.3,0,62.3,0
62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0,62.5,0
