BODY_DvhArray Dose (Gy),BODY_DvhArray Value (% of 10696.900 cc),Bladder_DvhArray Dose (Gy),Bladder_DvhArray Value (% of 117.484 cc),FemoralHeadLt_DvhArray Dose (Gy),FemoralHeadLt_DvhArray Value (% of 49.422 cc),FemoralHeadRT_DvhArray Dose (Gy),FemoralHeadRT_DvhArray Value (% of 50.305 cc),PTV_DvhArray Dose (Gy),PTV_DvhArray Value (% of 49.023 cc),Rectum_DvhArray Dose (Gy),Rectum_DvhArray Value (% of 30.762 cc),
42.300000,10.732953,42.300000,96.485570,42.300000,0.000000,42.300000,0.000000,42.300000,100.000000,42.300000,47.377778,
42.500000,10.618215,42.500000,96.425722,42.500000,0.000000,42.500000,0.000000,42.500000,100.000000,42.500000,46.088889,
42.700000,10.494841,42.700000,96.317662,42.700000,0.000000,42.700000,0.000000,42.700000,100.000000,42.700000,44.876190,
42.900000,10.362319,42.900000,96.171366,42.900000,0.000000,42.900000,0.000000,42.900000,100.000000,42.900000,43.796825,
43.100000,10.210863,43.100000,95.835550,43.100000,0.000000,43.100000,0.000000,43.100000,100.000000,43.100000,42.323810,
43.300000,10.039322,43.300000,95.223766,43.300000,0.000000,43.300000,0.000000,43.300000,100.000000,43.300000,40.025397,
43.500000,9.862413,43.500000,95.114044,43.500000,0.000000,43.500000,0.000000,43.500000,100.000000,43.500000,38.228571,
43.700000,9.679059,43.700000,94.991023,43.700000,0.000000,43.700000,0.000000,43.700000,100.000000,43.700000,36.222222,
43.900000,9.458695,43.900000,94.798178,43.900000,0.000000,43.900000,0.000000,43.900000,100.000000,43.900000,33.466667,
44.100000,9.229055,44.100000,94.389214,44.100000,0.000000,44.100000,0.000000,44.100000,100.000000,44.100000,31.244444,
44.300000,8.954918,44.300000,93.602873,44.300000,0.000000,44.300000,0.000000,44.300000,100.000000,44.300000,28.730159,
44.500000,8.642566,44.500000,93.376779,44.500000,0.000000,44.500000,0.000000,44.500000,99.952191,44.500000,25.657143,
44.700000,8.278286,44.700000,93.052600,44.700000,0.000000,44.700000,0.000000,44.700000,99.928287,44.700000,22.298413,
44.900000,7.816286,44.900000,92.317795,44.900000,0.000000,44.900000,0.000000,44.900000,99.533865,44.900000,18.565079,
45.100000,7.241666,45.100000,91.466618,45.100000,0.000000,45.100000,0.000000,45.100000,98.681275,45.100000,14.838095,
45.300000,6.525558,45.300000,90.698564,45.300000,0.000000,45.300000,0.000000,45.300000,96.247012,45.300000,10.723810,
45.500000,5.674373,45.500000,89.395199,45.500000,0.000000,45.500000,0.000000,45.500000,90.310757,45.500000,5.987302,
45.700000,4.731566,45.700000,86.971339,45.700000,0.000000,45.700000,0.000000,45.700000,78.111554,45.700000,1.358730,
45.900000,3.708274,45.900000,80.911690,45.900000,0.000000,45.900000,0.000000,45.900000,57.669323,45.900000,0.000000,
46.100000,2.515851,46.100000,70.501396,46.100000,0.000000,46.100000,0.000000,46.100000,20.752988,46.100000,0.000000,
46.300000,1.460223,46.300000,49.125549,46.300000,0.000000,46.300000,0.000000,46.300000,0.000000,46.300000,0.000000,
46.500000,0.768327,46.500000,23.779758,46.500000,0.000000,46.500000,0.000000,46.500000,0.000000,46.500000,0.000000,
46.700000,0.306235,46.700000,5.511039,46.700000,0.000000,46.700000,0.000000,46.700000,0.000000,46.700000,0.000000,
46.900000,0.063467,46.900000,0.224431,46.900000,0.000000,46.900000,0.000000,46.900000,0.000000,46.900000,0.000000,
47.100000,0.000000,47.100000,0.000000,47.100000,0.000000,47.100000,0.000000,47.100000,0.000000,47.100000,0.000000,
