BODY_DvhArray Dose (Gy),BODY_DvhArray Value (% of 10696.900 cc),Bladder_DvhArray Dose (Gy),Bladder_DvhArray Value (% of 117.484 cc),FemoralHeadLt_DvhArray Dose (Gy),FemoralHeadLt_DvhArray Value (% of 49.422 cc),FemoralHeadRT_DvhArray Dose (Gy),FemoralHeadRT_DvhArray Value (% of 50.305 cc),PTV_DvhArray Dose (Gy),PTV_DvhArray Value (% of 49.023 cc),Rectum_DvhArray Dose (Gy),Rectum_DvhArray Value (% of 30.762 cc),
9.500000,50.240613,9.500000,100.000000,9.500000,100.000000,9.500000,100.000000,9.500000,100.000000,9.500000,100.000000,
9.700000,49.987858,9.700000,100.000000,9.700000,100.000000,9.700000,100.000000,9.700000,100.000000,9.700000,100.000000,
9.900000,49.745966,9.900000,100.000000,9.900000,100.000000,9.900000,100.000000,9.900000,100.000000,9.900000,100.000000,
10.100000,49.509881,10.100000,100.000000,10.100000,100.000000,10.100000,100.000000,10.100000,100.000000,10.100000,100.000000,
10.300000,49.280552,10.300000,100.000000,10.300000,100.000000,10.300000,100.000000,10.300000,100.000000,10.300000,100.000000,
10.500000,49.053614,10.500000,100.000000,10.500000,100.000000,10.500000,100.000000,10.500000,100.000000,10.500000,100.000000,
10.700000,48.828666,10.700000,100.000000,10.700000,100.000000,10.700000,100.000000,10.700000,100.000000,10.700000,100.000000,
10.900000,48.605380,10.900000,100.000000,10.900000,100.000000,10.900000,100.000000,10.900000,100.000000,10.900000,100.000000,
11.100000,48.397322,11.100000,100.000000,11.100000,100.000000,11.100000,100.000000,11.100000,100.000000,11.100000,99.968254,
11.300000,48.192989,11.300000,100.000000,11.300000,100.000000,11.300000,100.000000,11.300000,100.000000,11.300000,99.790476,
11.500000,47.998095,11.500000,100.000000,11.500000,100.000000,11.500000,100.000000,11.500000,100.000000,11.500000,99.498413,
11.700000,47.800791,11.700000,100.000000,11.700000,100.000000,11.700000,100.000000,11.700000,100.000000,11.700000,99.301587,
11.900000,47.608874,11.900000,100.000000,11.900000,100.000000,11.900000,100.000000,11.900000,100.000000,11.900000,99.212698,
12.100000,47.418235,12.100000,100.000000,12.100000,100.000000,12.100000,100.000000,12.100000,100.000000,12.100000,99.212698,
12.300000,47.227650,12.300000,100.000000,12.300000,100.000000,12.300000,100.000000,12.300000,100.000000,12.300000,99.212698,
12.500000,47.043292,12.500000,100.000000,12.500000,100.000000,12.500000,100.000000,12.500000,100.000000,12.500000,99.212698,
12.700000,46.863206,12.700000,100.000000,12.700000,100.000000,12.700000,100.000000,12.700000,100.000000,12.700000,99.212698,
12.900000,46.685713,12.900000,100.000000,12.900000,100.000000,12.900000,100.000000,12.900000,100.000000,12.900000,99.212698,
13.100000,46.508256,13.100000,100.000000,13.100000,100.000000,13.100000,100.000000,13.100000,100.000000,13.100000,99.212698,
13.300000,46.332279,13.300000,100.000000,13.300000,100.000000,13.300000,100.000000,13.300000,100.000000,13.300000,99.212698,
13.500000,46.156210,13.500000,100.000000,13.500000,100.000000,13.500000,100.000000,13.500000,100.000000,13.500000,99.212698,
13.700000,45.982131,13.700000,100.000000,13.700000,100.000000,13.700000,100.000000,13.700000,100.000000,13.700000,99.212698,
13.900000,45.803926,13.900000,100.000000,13.900000,100.000000,13.900000,100.000000,13.900000,100.000000,13.900000,99.193651,
14.100000,45.625484,14.100000,100.000000,14.100000,100.000000,14.100000,100.000000,14.100000,100.000000,14.100000,99.193651,
14.300000,45.444521,14.300000,100.000000,14.300000,100.000000,14.300000,100.000000,14.300000,100.000000,14.300000,99.180952,
14.500000,45.258684,14.500000,100.000000,14.500000,100.000000,14.500000,100.000000,14.500000,100.000000,14.500000,99.155556,
14.700000,45.069579,14.700000,100.000000,14.700000,100.000000,14.700000,100.000000,14.700000,100.000000,14.700000,99.130159,
