BODY_DVH Dose (Gy),BODY_DVH Value (% of 7979.6 cc),BRAIN_DVH Dose (Gy),BRAIN_DVH Value (% of 1114.2 cc),BRSTEM_DVH Dose (Gy),BRSTEM_DVH Value (% of 30.8 cc),CTV_DVH Dose (Gy),CTV_DVH Value (% of 69.2 cc),GTV_DVH Dose (Gy),GTV_DVH Value (% of 7.8 cc),LensLeft_DVH Dose (Gy),LensLeft_DVH Value (% of 0.1 cc),LensRight_DVH Dose (Gy),LensRight_DVH Value (% of 0.1 cc),OpticChiasm_DVH Dose (Gy),OpticChiasm_DVH Value (% of 0.8 cc),OpticNerveLt_DVH Dose (Gy),OpticNerveLt_DVH Value (% of 1.3 cc),OpticNerveRt_DVH Dose (Gy),OpticNerveRt_DVH Value (% of 1.8 cc),OrbitLeft_DVH Dose (Gy),OrbitLeft_DVH Value (% of 8.1 cc),OrbitRight_DVH Dose (Gy),OrbitRight_DVH Value (% of 8.5 cc),PTV1_DVH Dose (Gy),PTV1_DVH Value (% of 125.7 cc),optBRAIN_DVH Dose (Gy),optBRAIN_DVH Value (% of 781.5 cc),optOptic_DVH Dose (Gy),optOptic_DVH Value (% of 20.7 cc),
1.32,26.1373,1.32,89.746,1.32,87.4466,1.32,100,1.32,100,1.32,100,1.32,0,1.32,100,1.32,100,1.32,87.4299,1.32,100,1.32,25.3493,1.32,100,1.32,85.3781,1.32,67.7797
1.38,25.6076,1.38,88.6208,1.38,86.2379,1.38,100,1.38,100,1.38,100,1.38,0,1.38,100,1.38,100,1.38,80.9696,1.38,100,1.38,21.6962,1.38,100,1.38,83.7735,1.38,65.7089
1.44,25.1115,1.44,87.538,1.44,85.1343,1.44,100,1.44,100,1.44,100,1.44,0,1.44,100,1.44,100,1.44,73.9496,1.44,100,1.44,18.8031,1.44,100,1.44,82.2296,1.44,63.9007
1.5,24.653,1.5,86.5067,1.5,84.1154,1.5,100,1.5,100,1.5,100,1.5,0,1.5,100,1.5,100,1.5,66.9664,1.5,100,1.5,16.5135,1.5,100,1.5,80.7589,1.5,62.3481
1.56,24.2275,1.56,85.5275,1.56,83.1643,1.56,100,1.56,100,1.56,100,1.56,0,1.56,100,1.56,100,1.56,60.4521,1.56,100,1.56,14.6115,1.56,100,1.56,79.3626,1.56,60.9885
1.62,23.8327,1.62,84.5969,1.62,82.2619,1.62,100,1.62,100,1.62,100,1.62,0,1.62,100,1.62,100,1.62,54.6123,1.62,100,1.62,13.0899,1.62,100,1.62,78.0355,1.62,59.8302
1.68,23.4699,1.68,83.7225,1.68,81.3968,1.68,100,1.68,100,1.68,100,1.68,0,1.68,100,1.68,100,1.68,49.4716,1.68,100,1.68,11.7385,1.68,100,1.68,76.7887,1.68,58.8089
1.74,23.1362,1.74,82.9043,1.74,80.5477,1.74,100,1.74,100,1.74,100,1.74,0,1.74,100,1.74,100,1.74,44.73,1.74,100,1.74,10.7724,1.74,100,1.74,75.6219,1.74,57.9782
1.8,22.828,1.8,82.1413,1.8,79.6875,1.8,100,1.8,100,1.8,100,1.8,0,1.8,100,1.8,100,1.8,40.5713,1.8,100,1.8,9.87689,1.8,100,1.8,74.534,1.8,57.2322
1.86,22.5493,1.86,81.4309,1.86,78.7876,1.86,100,1.86,100,1.86,100,1.86,0,1.86,100,1.86,100,1.86,36.7921,1.86,100,1.86,9.39933,1.86,100,1.86,73.521,1.86,56.7127
